,tid,uid,lon,lat,distance,id_location
0,2708.0,17,116.39840616956518,39.9673429173913,626.8493940834952,294121375.0
1,2712.0,17,116.39727399999995,39.96730483409092,723.408851586192,294121375.0
2,8867.0,84,116.396608,39.967298,779.8915217858007,294121375.0
3,10892.0,122,116.39871044999998,39.96784836363636,511.5368674245705,294121375.0
4,12027.0,128,116.39668551666664,39.9674058,773.35411828797,294121375.0
5,15465.0,153,116.39832709090912,39.96748322727273,633.4225659090131,294121375.0
6,15466.0,153,116.3985768125,39.96747493750001,612.1401112301099,294121375.0
7,15467.0,153,116.39650106451612,39.96738248387096,789.1014461221137,294121375.0
8,15476.0,153,116.397037025,39.967508225,743.3722696933944,294121375.0
9,15477.0,153,116.39915591666666,39.96757516666667,562.9030202125728,294121375.0
0,82.0,0,116.36839575,39.90616775000001,791.7092822572512,342799184.0
1,650.0,3,116.36839575,39.90616775000001,791.7092822572512,342799184.0
2,2712.0,17,116.36778340000004,39.9031555452381,674.7376711036255,342799184.0
3,4397.0,30,116.35100828125,39.90145415625,703.1403081840605,342799184.0
4,5286.0,39,116.36790384615384,39.902837125,697.6487629416654,342799184.0
5,5428.0,40,116.36837925,39.90623941666666,793.6200255055177,342799184.0
6,7537.0,66,116.35532696666664,39.9059867,392.8075380612441,342799184.0
7,12045.0,128,116.3507694,39.902017458333326,586.8859737959033,342799184.0
8,15465.0,153,116.36112407692306,39.906368500000006,652.6031627498595,342799184.0
0,82.0,0,116.3244485,39.93149873333333,163.87783986119433,1292883529.0
1,650.0,3,116.3244485,39.93149873333333,163.87783986119433,1292883529.0
2,1015.0,4,116.3248095,39.937067538461534,174.72508743755125,1292883529.0
3,3147.0,22,116.32675166666668,39.93700041666667,472.0609844286838,1292883529.0
4,3905.0,25,116.32950996666666,39.93714273333333,222.58787075179183,1292883529.0
5,3906.0,25,116.32510764444444,39.937238775,360.66384162235164,1292883529.0
6,4398.0,30,116.33450246153848,39.93278846153847,318.83208231806253,1292883529.0
7,4398.777777777777,30,116.33891366666666,39.93643272222222,468.087131659607,1292883529.0
8,4399.0,30,116.34067178571428,39.9373755,630.0295504027592,1292883529.0
9,9207.0,85,116.32546491666666,39.931017,124.42554064019755,1292883529.0
10,9208.0,85,116.32676825000004,39.93035575,120.09371832339457,1292883529.0
11,9209.0,85,116.32609916666668,39.93187316666667,193.54431559845088,1292883529.0
12,9210.0,85,116.32512116666663,39.93061561538461,93.90434056083518,1292883529.0
13,9211.0,85,116.32962871428572,39.93167076923077,76.731792951207,1292883529.0
14,9212.0,85,116.32888208333333,39.93087292857143,138.05506439092872,1292883529.0
15,9215.0,85,116.32510391666668,39.93150941666666,60.599362395516145,1292883529.0
16,12044.0,128,116.3362066,39.930535133333336,501.35066419569034,1292883529.0
0,2706.0,17,116.3464795074074,39.99515701538463,387.513840974629,1785705881.0
1,2709.0,17,116.34633785,39.99702981020408,326.33625618566947,1785705881.0
2,2711.0,17,116.34481633333333,39.99594517037037,295.67914368403177,1785705881.0
3,2712.0,17,116.34664728,39.996378668571424,317.2061297023281,1785705881.0
4,5268.0,39,116.34497150000004,39.99774185714286,91.68850908539044,1785705881.0
0,81.0,0,116.30891344444444,39.99806391666667,774.2045805015323,2354019862.0
1,82.0,0,116.309,39.99543233333333,673.163559451989,2354019862.0
2,83.0,0,116.30932816666667,39.9958875,473.38636355756637,2354019862.0
3,84.0,0,116.3204915,39.994811,397.44986858703606,2354019862.0
4,85.0,0,116.325302125,39.999733000000006,638.8273999983564,2354019862.0
5,86.0,0,116.32264155555556,39.99977688888889,416.6751820096253,2354019862.0
6,87.0,0,116.32697733333336,39.99975325,779.956273997883,2354019862.0
7,88.0,0,116.3254676,39.99996733333334,651.9028892817553,2354019862.0
8,89.0,0,116.32304491666666,39.99832141666666,451.3516898400408,2354019862.0
9,90.0,0,116.32081999999998,39.9984075,274.35825413285335,2354019862.0
10,91.0,0,116.327094,39.99982884615384,791.2945527556732,2354019862.0
11,92.0,0,116.32665025,39.99894783333333,770.0027720700062,2354019862.0
12,93.0,0,116.32591566666667,39.9997166,690.437079091618,2354019862.0
13,94.0,0,116.32498325,39.999799875,613.0464104837188,2354019862.0
14,95.0,0,116.32668683333333,39.998227500000006,774.5233217590779,2354019862.0
15,96.0,0,116.3251025,39.999794,622.2284872381024,2354019862.0
16,97.0,0,116.32038241666667,39.994174,428.7799374231896,2354019862.0
17,98.0,0,116.3252204,39.99992909090909,630.9394453651487,2354019862.0
18,99.0,0,116.32712366666664,39.99979816666667,792.8129377315695,2354019862.0
19,100.0,0,116.3250495,39.999772666666665,617.6996913102682,2354019862.0
20,101.0,0,116.32715,39.999967,794.6854870193486,2354019862.0
21,102.0,0,116.32242816666668,39.99989016666667,396.43542142955147,2354019862.0
22,103.0,0,116.32334133333332,39.99909516666666,473.04913270859896,2354019862.0
23,104.0,0,116.326502,39.99867558333334,741.3175778663948,2354019862.0
24,105.0,0,116.322826125,39.998844166666665,430.89169034821424,2354019862.0
25,106.0,0,116.326568125,39.999731375,747.939039142518,2354019862.0
26,107.0,0,116.322029,39.998530916666674,361.3082897388337,2354019862.0
27,108.0,0,116.32205875,39.99828275,367.39426785079337,2354019862.0
28,649.0,3,116.30891344444444,39.99806391666667,774.2045805015323,2354019862.0
29,650.0,3,116.309,39.99543233333333,673.163559451989,2354019862.0
30,651.0,3,116.30932816666667,39.9958875,473.38636355756637,2354019862.0
31,652.0,3,116.3204915,39.994811,397.44986858703606,2354019862.0
32,653.0,3,116.325302125,39.999733000000006,638.8273999983564,2354019862.0
33,654.0,3,116.32264155555556,39.99977688888889,416.6751820096253,2354019862.0
34,655.0,3,116.32697733333336,39.99975325,779.956273997883,2354019862.0
35,656.0,3,116.3254676,39.99996733333334,651.9028892817553,2354019862.0
36,657.0,3,116.32304491666666,39.99832141666666,451.3516898400408,2354019862.0
37,658.0,3,116.32081999999998,39.9984075,274.35825413285335,2354019862.0
38,659.0,3,116.327094,39.99982884615384,791.2945527556732,2354019862.0
39,660.0,3,116.32665025,39.99894783333333,770.0027720700062,2354019862.0
40,661.0,3,116.32591566666667,39.9997166,690.437079091618,2354019862.0
41,662.0,3,116.32498325,39.999799875,613.0464104837188,2354019862.0
42,663.0,3,116.32668683333333,39.998227500000006,774.5233217590779,2354019862.0
43,664.0,3,116.3251025,39.999794,622.2284872381024,2354019862.0
44,665.0,3,116.32038241666667,39.994174,428.7799374231896,2354019862.0
