,tid,uid,lon,lat,distance,id_location
0,5731,41,115.9736966,39.6394349,483.9097371520084,2391264902.0
1,5732,41,115.9610883,39.6389966,261.23885973518185,2391264902.0
0,8863,84,115.928728,39.682084,308.1183196902708,4643049892.0
0,5731,41,116.0710883,39.7163383,289.8533973437869,5315328150.0
1,5732,41,116.08285990000002,39.7167683,665.72059281383,5315328150.0
2,5733,41,116.0769583,39.7163466,652.6674622551387,5315328150.0
3,5734,41,116.0771583,39.7162533,701.4377456513372,5315328150.0
4,8863,84,116.077654,39.716405,700.0384515903704,5315328150.0
0,5731,41,116.0484649,39.7111683,14.85681648883972,5315328169.0
1,5733,41,116.0459166,39.7115249,55.829971504109984,5315328169.0
2,5734,41,116.0458683,39.7113699,39.238764925236715,5315328169.0
3,8863,84,116.047002,39.711447,70.17834804623297,5315328169.0
0,5733,41,116.0253316,39.7061616,68.88022379457422,5315328188.0
1,5734,41,116.0252199,39.7059499,42.10382537685946,5315328188.0
2,8863,84,116.025685,39.706202000000005,61.35442693002588,5315328188.0
0,5731,41,116.06491,39.7141399,63.457541586583844,5402953665.0
1,5732,41,116.08285990000002,39.7173316,794.0959025042257,5402953665.0
2,5733,41,116.0648266,39.7142583,55.06623069132911,5402953665.0
3,5734,41,116.0647233,39.7142633,40.44668185100363,5402953665.0
4,8863,84,116.064846,39.714509,71.73637388859109,5402953665.0
0,5731,41,116.1296966,39.7190616,19.07636703588914,5430390454.0
0,5731,41,116.0855066,39.725948200000005,123.70498140118885,5779155490.0
0,5733,41,116.0019799,39.70133,38.55106543073503,7796839024.0
1,5734,41,116.0020199,39.7011732,17.323219067181917,7796839024.0
2,8863,84,116.002065,39.701279,22.86926561638587,7796839024.0
0,5733,41,115.99115659999998,39.69836,33.71582411831978,7796853448.0
1,5734,41,115.9912316,39.6982083,24.311744306051,7796853448.0
2,8863,84,115.991071,39.698416,67.59606413243876,7796853448.0
0,5731,41,116.1407533,39.7218799,192.19289273135556,8073272033.0
0,5731,41,116.11140659999998,39.726075,786.0785995685458,8073272034.0
1,5734,41,116.11173829999998,39.7264083,792.3144819198045,8073272034.0
0,5732,41,116.0273866,39.599745,308.411334951343,8363785413.0
0,5731,41,116.1239366,39.7266866,240.61471303433956,671750517.0
1,5734,41,116.1239416,39.7344866,563.3573622867924,671750517.0
0,5732,41,116.02755829999998,39.599745,433.5437332567465,834360016.0
0,5731,41,116.1049249,39.72404829999999,265.2922728635882,834537463.0
1,5734,41,116.1053816,39.724061600000006,62.72055701898021,834537463.0
2,8863,84,116.105051,39.726643,448.7589766966276,834537463.0
0,5731,41,116.1280383,39.7253316,36.49995905171092,911533286.0
1,5734,41,116.1282566,39.7370516,782.7733951170694,911533286.0
0,5780,41,116.0571733,39.9787316,193.0492902635811,1288801539.0
1,12085,128,116.0574183,39.9882483,501.6212739913845,1288801539.0
2,12088,128,116.05795829999998,39.9881516,507.10379955438856,1288801539.0
0,5780,41,116.0946433,39.9444033,524.0280731450762,2112826371.0
1,5781,41,116.0947049,39.944390000000006,528.4625021730426,2112826371.0
0,5780,41,116.0878533,39.98528,122.98372852120372,2112867309.0
1,5781,41,116.0879116,39.9852749,117.14175445988639,2112867309.0
2,12085,128,116.08424,39.9948483,323.72248700443805,2112867309.0
3,12088,128,116.0840549,39.9948033,311.55594692522016,2112867309.0
0,5780,41,116.0928016,39.999311600000006,534.1960294282709,2112871626.0
1,5781,41,116.0928466,39.9992616,521.3431641735101,2112871626.0
